BG,stat,sys
2.401455E+02,7.365593E+00,9.400503E+00
6.528884E+01,3.840520E+00,2.555734E+00
2.236538E+01,2.247805E+00,8.754937E-01
4.066433E+00,9.584674E-01,1.591807E-01
1.355478E+00,5.533714E-01,5.306022E-02
2.259129E-01,2.259129E-01,8.843370E-03
