BG,stat,sys
2.431957E+02,7.555722E+00,4.850453E+01
6.432009E+01,3.885719E+00,1.282842E+01
2.159653E+01,2.251594E+00,4.307352E+00
4.929642E+00,1.075736E+00,9.831999E-01
9.389794E-01,4.694897E-01,1.872762E-01
2.347449E-01,2.347449E-01,4.681904E-02
